X,Y,FID,OBJECTID,LATITUDE,LONGITUDE,SITE_NAME,SITE_NO,SITE_TYPE,SOURCE,OBS,OBJECTID_1,05_07_2019,05_13_2019,05_14_2019,06_07_2019,06_11_2019,06_20_2019,07_25_2019,08_20_2019,08_21_2019,09_17_2019,10_09_2019,10_10_2019,11_04_2019,11_05_2019,11_18_2019,11_19_2019,12_18_2019,12_23_2019,SITE_NO_1,SITE_NAM_1,OBS_TYPE,,UNIT
-9992828.53,5440582.38,78706,16819,43.83914,-89.767106,Campbell Creek at 9th Dr,13190,ST,WDNR,4.6109,78180,,,4.6109,,,3.2473,3.6361,3.6361,,,5.1905,,,4.6459,,4.7986,,4.0933,13190,Campbell Creek at 9th Dr,BF,,CFS
-9973980.359,5480252.627,78707,16805,44.095627,-89.59779,Carter Creek at 1st Ave,10010761,ST,WDNR,6.0726,78181,6.0726,,,5.7635,,,4.7432,,3.087,,,5.3525,4.7077,,4.1221,,3.7007,,10010761,Carter Creek at 1st Ave,BF,,CFS
-9965317.476,5463463.114,78711,16719,43.98721,-89.51997,Chaffe Creek - CTH CH,10039561,ST,WDNR,4.9025,78185,,4.9025,,,4.0432,,4.1986,4.8002,,5.3117,,5.5417,,,4.8322,,,,10039561,Chaffe Creek - CTH CH,BF,,CFS
-9956757.007,5461517.266,78710,16832,43.974632,-89.44307,Chaffee Creek - CTH B,10010716,ST,WDNR,26.7268,78184,,26.7268,,,24.3512,,24.9551,23.8081,,24.6771,,25.2076,,,24.0925,,,,10010716,Chaffee Creek - CTH B,BF,,CFS
-9950902.66,5458600.054,78708,16738,43.9557701,-89.3904795,Chaffee Creek at 11th Lane,10041821,ST,WDNR,31.9122,78182,,,,,27.5889,,29.7786,26.703,,31.1437,,32.8008,,,29.2196,,27.8781,,10041821,Chaffee Creek at 11th Lane,BF,,CFS
-9946099.947,5457827.658,78709,16816,43.950775,-89.347336,Chaffee Creek at 14th Ave,10041326,ST,WDNR,73.7772,78183,,73.7772,,,65.8218,,71.888,61.3688,,77.0765,,93.4701,,,67.8782,,,,10041326,Chaffee Creek at 14th Ave,BF,,CFS
-9973979.246,5483745.34,78713,16822,44.118156,-89.59778,Dry Creek - 1st Ave (Site 9),10009555,ST,WDNR,5.073,78187,5.073,,,5.2204,,,6.0599,,3.4204,,,6.7775,4.4333,,3.3956,,3.5286,,10009555,Dry Creek - 1st Ave (Site 9),BF,,CFS
-9999985.906,5441859.633,78715,16818,43.8474153,-89.8314018,Fairbanks Creek at Ember Ave,10041912,ST,WDNR,23.2447,78189,,,23.2447,,,19.8495,17.4716,19.1225,,,24.7427,,,19.4752,,18.312,,14.8422,10041912,Fairbanks Creek at Ember Ave,BF,,CFS
-9970827.791,5449093.23,78641,16713,43.89426,-89.56947,Lawrence Creek at Eagle Ave,10040536,ST,WDNR,25.1404,78115,,,25.1404,,,21.82,26.016,25.0433,,22.44,27.036,,,26.6954,,27.26,,26.6428,10040536,Lawrence Creek at Eagle Ave,BF,,CFS
-9945350.099,5464433.254,78642,16775,43.99348,-89.3406,Little Pine Creek - Czech Court,10011387,ST,WDNR,21.8493,78116,,21.8493,,,16.2664,,17.9256,14.3467,,20.8222,,24.7063,,,17.1534,,,,10011387,Little Pine Creek - Czech Court,BF,,CFS
-9943007.937,5464308.847,78643,16774,43.992676,-89.31956,Lunch Creek - Czech Ct (Downstream),10038893,ST,WDNR,26.1906,78117,,26.1906,,,19.491,,23.3501,17.5744,,24.3688,,27.2967,,,21.0491,,,,10038893,Lunch Creek - Czech Ct (Downstream),BF,,CFS
-9958798.607,5473141.553,78644,16806,44.049732,-89.46141,Mecan River - Cty Rd GG (~600ft S),10034799,ST,WDNR,15.2411,78118,15.2411,,,16.4487,,,,,15.5561,,,16.5018,16.2885,,16.3365,,15.7568,,10034799,Mecan River - Cty Rd GG (~600ft S),BF,,CFS
